Verbatim;Categorie;Libelle;Compar
le manque de clarté de ma position;Organisation;Ce qui me met en difficulté;1
Le manque de clarté des responsabilités du GM : qui fait quoi? en parallèle de la roadmap tech, quelle est la roadmap GM?;Organisation;Ce qui me met en difficulté;1
Le manque de clarté des responsabilités sur les sujets;Organisation;Ce qui me met en difficulté;1
le manque de clarté sur mes missions;Organisation;Ce qui me met en difficulté;1
Le manque de communication de la hiérarchie (des choses très cool se font et on les passe sous silence);Communication;Ce qui me met en difficulté;1
Le manque de communication en interne : sur les travaux et projets des différentes teams. Cette communication est pour moi essentielle pour réaliser comment chacun apporte sa pierre à l'édifice.;Communication;Ce qui me met en difficulté;1
Le manque de communication entre les pôles;Communication;Ce qui me met en difficulté;1
Le manque de communication sur les actions à mener;Communication;Ce qui me met en difficulté;1
Le manque de communication sur les sujets;Communication;Ce qui me met en difficulté;1
Le manque de communication ;Communication;Ce qui me met en difficulté;1
Le manque de confiance de la part de la direction;Autonomie;Ce qui me met en difficulté;1
Le manque de congés;Environnement;Ce qui me met en difficulté;1
Le manque de considération;Reconnaissance;Ce qui me met en difficulté;1
Le manque de décisions et de vision de l'entreprise;Vision;Ce qui me met en difficulté;1
le manque de définition des responsabilités;Organisation;Ce qui me met en difficulté;1
Le manque de définition du processus de décision (et de validation des décisions);Organisation;Ce qui me met en difficulté;1
Le manque de discernement et de recul des équipes sur ce qu'on essaie de construire sur le long-terme.;Vision;Ce qui me met en difficulté;1
Le manque de disponibilité du Top Management (pas forcément de leur faute mais quand-même pas facile à gérer au quotidien);Accompagnement;Ce qui me met en difficulté;1
Le manque de flexibilité des horaires;Environnement;Ce qui me met en difficulté;1
Le manque de flexibilité en termes de remote working;Environnement;Ce qui me met en difficulté;1
Le manque de formation;Evolution;Ce qui me met en difficulté;1
Le manque de formation / veille technique;Evolution;Ce qui me met en difficulté;1
Le manque de mode opératoire;Moyens;Ce qui me met en difficulté;1
le manque de moyens humains;Moyens;Ce qui me met en difficulté;1
Le manque de perspectives (commerciales et évolution);Dynamique;Ce qui me met en difficulté;1
le manque de place;Environnement;Ce qui me met en difficulté;1
Le manque de prise de décision avec des faits concrets;Organisation;Ce qui me met en difficulté;1
Le manque de process;Organisation;Ce qui me met en difficulté;1
Le manque de process et de méthodologies;Moyens;Ce qui me met en difficulté;1
Le manque de process ou de délimitations de là ou commence et finit le travail de chacun;Organisation;Ce qui me met en difficulté;1
Le manque de reconnaissance;Reconnaissance;Ce qui me met en difficulté;1
le manque de reconnaissance de l'implication;Reconnaissance;Ce qui me met en difficulté;1
Le manque de responsable produit à temps complet impliqué opérationnelement;Moyens;Ce qui me met en difficulté;1
Le manque de ressources dans certaines équipes;Moyens;Ce qui me met en difficulté;1
le manque de ressources humaines;Moyens;Ce qui me met en difficulté;1
Le manque de rigueur de partis interagissant avec notre pôle;Travail;Ce qui me met en difficulté;1
Le manque de senior;Moyens;Ce qui me met en difficulté;1
le manque de sens;Vision;Ce qui me met en difficulté;1
Le manque de stabilité dans l'organisation;Organisation;Ce qui me met en difficulté;1
Le manque de suivi des collaborateurs en mission;Accompagnement;Ce qui me met en difficulté;1
Le manque de temps pour être avec mes associés et l'équipe., on est tous par monts et par vaux;Pression;Ce qui me met en difficulté;1
"le manque de temps; le manque de confiance en moi";Pression;Ce qui me met en difficulté;1
Le manque de visibilité à long-terme;Vision;Ce qui me met en difficulté;1
Le manque de visibilité de mon travail à l'échelle de la boite;Reconnaissance;Ce qui me met en difficulté;1
le manque de visibilité long terme;Vision;Ce qui me met en difficulté;1
Le manque de visibilité sur les décisions du GM;Communication;Ce qui me met en difficulté;1
le manque de vision global de l'entreprise d'un point de vue business;Vision;Ce qui me met en difficulté;1
Le manque de vision long terme sur les produit;Vision;Ce qui me met en difficulté;1
Le manque de vision produit;Vision;Ce qui me met en difficulté;1
Le manque de vision sur la carrière;Evolution;Ce qui me met en difficulté;1
Le manque de vision sur le long terme;Vision;Ce qui me met en difficulté;1
Le manque d'échange entre les teams et l'accès à certaines informations;Communication;Ce qui me met en difficulté;1
Le manque d'échanges au sein de l'équipe;Collectif;Ce qui me met en difficulté;1
Le manque d'implication, de boulot ;Collectif;Ce qui me met en difficulté;1
Le manque d'information;Communication;Ce qui me met en difficulté;1
le manque d'information sur les devis validés;Communication;Ce qui me met en difficulté;1
Le manque d'informations;Communication;Ce qui me met en difficulté;1
le manque d'informations / de communication;Communication;Ce qui me met en difficulté;1
Le manque d'informations pour pouvoir prendre des décisions pertinentes;Communication;Ce qui me met en difficulté;1
Le manque d'initiative de partis interagissant avec notre pôle;Autonomie;Ce qui me met en difficulté;1
Le manque d'investissement de mes collègues ;Collectif;Ce qui me met en difficulté;1
Le manque d'objectifs concrets;Priorités;Ce qui me met en difficulté;1
Le manque d'objectifs personnels clairs;Priorités;Ce qui me met en difficulté;1
Le manque d'organisation;Organisation;Ce qui me met en difficulté;1
Le manque d'organisation du travail;Organisation;Ce qui me met en difficulté;1
Le manque d'organisation structurelle de l'entreprise;Organisation;Ce qui me met en difficulté;1
Le manque d'organisation.  ;Organisation;Ce qui me met en difficulté;1
le manque d'outil tech;Moyens;Ce qui me met en difficulté;1
le manque d'outils pour bien faire mon travail;Moyens;Ce qui me met en difficulté;1
Le manque d'outils pour reussir pleinement notre travail;Moyens;Ce qui me met en difficulté;1
le manque d'uniformité dans les opérations (utilisation des outils, process de travail, ...);Organisation;Ce qui me met en difficulté;1
Le manque et la mauvaise circulation  des information et consignes ;Communication;Ce qui me met en difficulté;1
le marketing est le centre de toutes les évolutions produits;Vision;Ce qui me met en difficulté;1
le matériel;Moyens;Ce que j'apprécie;1
le matériel (camion...);Organisation;Ce qui me met en difficulté;1
le matin;Autres;Ce qui me met en difficulté;1
Le mauvais management;Accompagnement;Ce qui me met en difficulté;1
Le métier m'anime. La dimension urbaine. Territoriale. Une effervescence constante. Jamais de répétition;Travail;Ce que j'apprécie;1
Le milieu du data center, les projets sur lesquels on travaille, projets techniques -> cab d'ingénierie spécialisé;Travail;Ce que j'apprécie;1
Le mouvement brownien dans la communication et l'organisation.;Communication;Ce qui me met en difficulté;1
Le multiposte : celui qui prend sont affaire, il l'a chiffré, il va la suivre et la réaliser. Toutes les étapes de A à Z. On est des mini chefs d'entreprise. J'adore ça;Autonomie;Ce que j'apprécie;1
Le niveau de réflexion limité de certaines personnes;Collectif;Ce qui me met en difficulté;1
Le nombre de produits différents à gérer et l'organisation de l'équipe qui n'est à mon avis pas encore assez à la hauteur pour ce challenge;Organisation;Ce qui me met en difficulté;1
Le nombre de réunions;Organisation;Ce qui me met en difficulté;1
le nombre projets en parallèle;Priorités;Ce qui me met en difficulté;1
Le non engagement;Collectif;Ce qui me met en difficulté;1
"Le non respect du l'hiérarchie;Dysfonctionnement";Collectif;Ce qui me met en difficulté;1
Le non respect du travail des autres;Collectif;Ce qui me met en difficulté;1
Le partage de la connaissance est mal organisé (Teams bordelique, rétention). Pas knowledge management de qualité;Organisation;Ce qui me met en difficulté;1
le périmètre de travail mal défini;Organisation;Ce qui me met en difficulté;1
LE PEU DE TEMPS CONSACRE AUX CONVERSATIONS INFORMELLES;Collectif;Ce qui me met en difficulté;1
Le peu de volonté des managers de faire évoluer les skills des équipes;Accompagnement;Ce qui me met en difficulté;1
le pilotage;Travail;Ce qui me met en difficulté;1
Le plaisir de la jardinière ;Autres;Ce que j'apprécie;1
Le plaisir de maitriser l'ensemble de ce que je produis. ;Autonomie;Ce que j'apprécie;1
Le plaisir d'être auprès des enfants;Travail;Ce que j'apprécie;1
le plaisir rendu aux clients;Relation client;Ce que j'apprécie;1
Le poids;Travail;Ce qui me met en difficulté;1
le poids et l'anomalie de tri chez les clients;Organisation;Ce qui me met en difficulté;1
le poids et le mélange;Travail;Ce qui me met en difficulté;1
le poids et le nombre de clients par tournées;Organisation;Ce qui me met en difficulté;1
Le poids que je collecte chez les clients;Travail;Ce qui me met en difficulté;1
Le poids toujours;Travail;Ce qui me met en difficulté;1
le point actu;Organisation;Ce que j'apprécie;1
Le potentiel de la boite ainsi que celui de ses employés;Dynamique;Ce que j'apprécie;2
le potentiel de l'entreprise;Vision;Ce que j'apprécie;1
le professionnalisme;Collectif;Ce que j'apprécie;1
Le projet;Vision;Ce que j'apprécie;1
Le projet (son objectif, son caractère innovant, ...);Vision;Ce que j'apprécie;1
Le projet > Ma motivation perso : motivation et mission derrière HappyPal;Vision;Ce que j'apprécie;1
Le projet de l'entreprise : Le développement Le sens donné à ce qu'on fait au quotidien ;Vision;Ce que j'apprécie;1
Le projet d'entreprise. Très sympa. Enjeux sociaux et environnementaux ;Vision;Ce que j'apprécie;1
Le projet et le produit que nous développons;Vision;Ce que j'apprécie;1
Le projet qu'on mène ;Vision;Ce que j'apprécie;1
Le quotidien qui reprend le dessus avec tout un tas de tâches ;Priorités;Ce qui me met en difficulté;1
Le rapport au siège. A leur ouverture d'esprit. Volonté d'évoluer de se poser des questions.;Ouverture;Ce que j'apprécie;1
le rapport entre les différents services;Collectif;Ce que j'apprécie;1
Le reconditionnement des PC 'environnement;Travail;Ce que j'apprécie;1
Le recrutement du pole Android et le déséquilibre entre les équipe Android & iOS (Nombre de developers);Moyens;Ce qui me met en difficulté;1
Le relationnel  avec les clients;Relation client;Ce que j'apprécie;1
Le rendement ( fière de faire du bon boulot );Travail;Ce que j'apprécie;1
le respect;Collectif;Ce qui me met en difficulté;1
Le respect de la personne. Tout le monde est important;Collectif;Ce que j'apprécie;1
le respect des priorités;Priorités;Ce que j'apprécie;1
le responsable du site;Collectif;Ce qui me met en difficulté;1
Le résultat, j’en suis fier;Vision;Ce que j'apprécie;1
Le retard des travaux;Environnement;Ce qui me met en difficulté;1
Le retour à une seule journée de télétravail, un compromis serait très appréciable.;Environnement;Ce qui me met en difficulté;1
Le retour des utilisateurs de nos applications est obtenu seulement avec des datas quantitatifs, jamais qualitatifs.;Relation client;Ce qui me met en difficulté;1
Le rush avant les évènements importants (exVivo, demo...);Pression;Ce qui me met en difficulté;1
le rythme de ma formation;Pression;Ce qui me met en difficulté;1
Le rythme de travail. Extrêmement soutenu;Pression;Ce qui me met en difficulté;1
Le salaire;Rémunération;Ce qui me met en difficulté;1
Le secteur;Travail;Ce que j'apprécie;1
Le secteur d'activité (créativité);Travail;Ce que j'apprécie;1
le séminaire;Environnement;Ce que j'apprécie;1
Le sens  de l'entreprise orientée vers les relations  humaines durables;Vision;Ce que j'apprécie;1
Le sens , la passion pour mon métier ;Travail;Ce que j'apprécie;1
Le sens d’échange entre collègues;Collectif;Ce que j'apprécie;1
Le sens de notre activité, de ce qu'on fait. Le plaisir de participer à améliorer le quotidien de nombreuses personnes;Vision;Ce que j'apprécie;1
Le sens du projet;Vision;Ce que j'apprécie;1
Le sens, avoir un impact. Mais aussi avoir de l'impact et le moyen d'avoir cet impact;Vision;Ce que j'apprécie;1
Le sentiment d'appartenance / d'investissement / la volonté de faire avancer l'entreprise et de ne pas juste executer des tâches;Vision;Ce que j'apprécie;1
Le sentiment de non mise en valeur de certains d'entre nous. Un problème de sensibilité et de susceptibilité.;Reconnaissance;Ce qui me met en difficulté;1
Le sentiment de non organisation;Organisation;Ce qui me met en difficulté;1
Le sentiment d'une équipe qui souhaite avancer;Collectif;Ce que j'apprécie;1
Le sentiment que ma performance influera directement la performance d’entreprise;Travail;Ce que j'apprécie;1
Le sentiment que tout le monde est engagé;Collectif;Ce que j'apprécie;1
le sérieux des responsables ;Collectif;Ce que j'apprécie;1
le service rendu, quand je me lève le matin je sais que je contribue à améliorer l'environnement. C'est sympa.;Vision;Ce que j'apprécie;1
Le seul jour de télétravail par semaine;Environnement;Ce qui me met en difficulté;1
le site de travail;Environnement;Ce que j'apprécie;1
Le social : on fournit des ordi à des personnes en difficulté ;Travail;Ce que j'apprécie;1
le stress;Pression;Ce qui me met en difficulté;1
le stress de mal faire;Pression;Ce qui me met en difficulté;1
le stress de ne pas réaliser toutes mes missions;Pression;Ce qui me met en difficulté;1
le stress des responsabilités;Pression;Ce qui me met en difficulté;1
Le stress est contenu, on est pas constamment poussé, compressé.;Accompagnement;Ce que j'apprécie;1
le sujet;Vision;Ce que j'apprécie;1
Le téléphone arabe (beaucoup d'informations se perdent ou sont déformées);Communication;Ce qui me met en difficulté;1
le téléphone pour communiquer avec les clients (sourds) et gps;Moyens;Ce qui me met en difficulté;1
Le télétravail possible;Environnement;Ce que j'apprécie;1
Le temps;Pression;Ce qui me met en difficulté;1
Le temps à passer pour régler des problèmes qu'on avait vu arriver de très loin.;Organisation;Ce qui me met en difficulté;1
Le temps alloué aux creatives;Organisation;Ce qui me met en difficulté;1
Le temps de trajet que j'ai;Environnement;Ce qui me met en difficulté;1
Le temps disponible nécessitant de prioriser et de filtrer ce qu'on me demande mais aussi ne me permettant pas de faire plus;Pression;Ce qui me met en difficulté;1
le temps passé à chercher certaines informations;Communication;Ce qui me met en difficulté;1
Le temps trop peu accordé a mettre en place des solution plus ambitieuses/pérennes;Priorités;Ce qui me met en difficulté;1
Le terrain, quand je fais des remplacements. J'adore rouler des Falafel. ;Travail;Ce que j'apprécie;1
le trafic;Environnement;Ce qui me met en difficulté;1
le travail;Travail;Ce que j'apprécie;1
Le travail  en équipe ;Collectif;Ce que j'apprécie;1
Le travail avec l'équipe ;Collectif;Ce que j'apprécie;1
Le travail cross-team;Travail;Ce que j'apprécie;1
le travail en équipe;Travail;Ce que j'apprécie;1
Le travail en équipe : mon rôle me permet de travailler avec des équipes très diverses (tech, design et autre). Cette pluridisciplinarité me booste au quotidien !;Travail;Ce que j'apprécie;1
Le travail en équipe. On est à l'aise pour se dire les choses. Travailler sur de stratégies. Nos craintes, nos peurs. Au niveau du codir/service support, c'est bien partagé. ;Collectif;Ce que j'apprécie;1
Le travail en équipe.L'écoute.La gérance.;Collectif;Ce que j'apprécie;1
Le travail en général;Travail;Ce que j'apprécie;1
Le travail qui prend du temps;Pression;Ce qui me met en difficulté;1
Le type d'activité;Travail;Ce que j'apprécie;1
Le virement de la paye le 28. On l'a jamais le 28;Organisation;Ce qui me met en difficulté;1
Le vision de sertain commercial pour les volumes (quantité à porter), non respect pour le tri et propreté des bacs en général.;Travail;Ce qui me met en difficulté;1
Learning Curve;Evolution;Ce que j'apprécie;1
Learning with interesting people;Collectif;Ce que j'apprécie;1
l'échange;Collectif;Ce que j'apprécie;1
L'échelle humaine de l'entreprise;Collectif;Ce que j'apprécie;1
l'écologie;Vision;Ce que j'apprécie;1
l'écoute;Collectif;Ce qui me met en difficulté;1
L'écoute au sein de l'équipe avec qui je travaille;Collectif;Ce que j'apprécie;1
L'écoute de mes managers;Collectif;Ce que j'apprécie;1
L'écoute des managers et de mes supérieurs;Collectif;Ce que j'apprécie;1
L'emplacement;Environnement;Ce que j'apprécie;1
L'emplacement des locaux;Environnement;Ce que j'apprécie;1
L'énergie des collègues;Collectif;Ce que j'apprécie;1
L'engagement de l'équipe;Collectif;Ce que j'apprécie;1
L'enseignement aux jeunes;Travail;Ce que j'apprécie;1
l'ensemble de cèdre;Collectif;Ce que j'apprécie;1
L'entente dans l'équipe;Collectif;Ce que j'apprécie;1
L'entente, l'entraide au sein de l'équipe;Collectif;Ce que j'apprécie;1
"Lenteur de la réalisation du projet formation professionnelle;Désorganisation";Evolution;Ce qui me met en difficulté;1
l'entité agence est un peu à l'abandon -> devoir gratter pour avoir des projets. ;Organisation;Ce qui me met en difficulté;1
l'entre aide;Collectif;Ce que j'apprécie;1
L'entreprise est une entreprise adaptée.;Vision;Ce que j'apprécie;1
L'envie de l'entreprise faire en sorte que chaque personne soit intégré.;Collectif;Ce que j'apprécie;1
L'envie de trop faire sur trop de sujets;Pression;Ce qui me met en difficulté;1
L'envie de trouver les leviers qui leur permettent de se révéler. J'ai vu des gens évoluer;Accompagnement;Ce que j'apprécie;1
l'environnement;Environnement;Ce que j'apprécie;1
L'environnement de travail;Environnement;Ce que j'apprécie;1
L'environnement pas toujours propre et entretenu (toilettes);Environnement;Ce qui me met en difficulté;1
l'Equipe;Collectif;Ce que j'apprécie;1
L'équipe;Collectif;Ce que j'apprécie;1
L'équipe avec laquelle je travaille tous les jours;Collectif;Ce que j'apprécie;1
L'équipe compétente et sympathique;Collectif;Ce que j'apprécie;1
L'équipe, Les personnes qui composent la société;Collectif;Ce que j'apprécie;1
L'équipe, mes associés;Collectif;Ce que j'apprécie;1
Les 2 générations : les papis (quinqua) et les jeunes;Collectif;Ce que j'apprécie;1
les accès;Environnement;Ce qui me met en difficulté;1
les adresses des clients sont beaucoup trop fausses;Moyens;Ce qui me met en difficulté;1
Les ambitions de l'entreprise à moyen et long terme;Dynamique;Ce que j'apprécie;2
Les arrêts de travail;Collectif;Ce qui me met en difficulté;1
les automobiles;Autres;Ce qui me met en difficulté;1
les avantages;Rémunération;Ce que j'apprécie;1
les avantages que nous donnes MWM ( salle de sport, masseuse, coiffure etc...);Rémunération;Ce que j'apprécie;1
Les avantages salariés;Rémunération;Ce que j'apprécie;1
les bacs;Travail;Ce qui me met en difficulté;1
les bacs cassés et non roulants;Moyens;Ce qui me met en difficulté;1
Les bananes.;Autres;Ce que j'apprécie;1
Les beaux chantiers. Faire des belles choses ;Travail;Ce que j'apprécie;1
les bouchons;Environnement;Ce qui me met en difficulté;1
Les bouchons.  ;Environnement;Ce qui me met en difficulté;1
les bruits de couloir;Collectif;Ce qui me met en difficulté;1
Les challenges;Travail;Ce que j'apprécie;1
Les challenges à venir;Dynamique;Ce que j'apprécie;1
Les changements d'avis réguliers (pas toujours facile de suivre);Priorités;Ce qui me met en difficulté;1
Les changements de direction de travail trop abrupts, ce qui nous mène soit à travailler sur un sujet pour rien, soit à se précipiter sur un sujet qui vient d'être prio.;Priorités;Ce qui me met en difficulté;1
Les changements de priorités qui peuvent arriver à n'importe quel moment et remettre toute une roadmap établie en cause.;Priorités;Ce qui me met en difficulté;1
Les changements de roadmap assez réguliers, même au sein d'un quarter déjà débuté;Priorités;Ce qui me met en difficulté;1
Les changements d'équipe fréquents : cela demande une constante ré-adaptation et peut être fatiguant.;Organisation;Ce qui me met en difficulté;1
les charges lourdes;Travail;Ce qui me met en difficulté;1
les chauffeurs ne nous aident pas;Collectif;Ce qui me met en difficulté;1
les chauffeurs ne respectent pas et ne rangent pas les bacs. Certains ne respectent pas les règles des pauses et je me retrouve seule pour travailler;Collectif;Ce qui me met en difficulté;1
Les chefs d'équipes ne savent pas trop manager les gars;Accompagnement;Ce qui me met en difficulté;1
Les choix cornéliens;Travail;Ce qui me met en difficulté;1
Les clients mais ca fais partie du job;Relation client;Ce qui me met en difficulté;1
Les clients mettent pas mal de pression;Pression;Ce qui me met en difficulté;1
Les clients, le relationnel avec les clients;Relation client;Ce que j'apprécie;1
Les clients. On a beaucoup de stress. On est toujours disponible pour le client. On fait des grosses journées. ;Relation client;Ce qui me met en difficulté;1
Les collègues;Collectif;Ce que j'apprécie;1
Les collègues ( solidarité );Collectif;Ce que j'apprécie;1
les collègues de mon bureau;Collectif;Ce que j'apprécie;1
les collègues de travail;Collectif;Ce que j'apprécie;1
Les collègues et la bonne ambiance;Collectif;Ce que j'apprécie;1
"Les collègues ne partagent pas ni aider les autres;2 clans : trieurs VS Chauffeurs;Pas de solidarité entre Chauffeurs, entre Trieurs, entre tous les collègues (Chauffeurs et Trieurs)";Collectif;Ce qui me met en difficulté;1
les collègues s'informent entre eux;Communication;Ce que j'apprécie;1
Les commerciaux : 2 commerciaux t'appellent pour la même chose. Ils ont un mail collectif, les 2 le traite en même temps ;Organisation;Ce qui me met en difficulté;1
Les commerciaux sous estiment le travail;Collectif;Ce qui me met en difficulté;1
Les compétences de mes collègues.;Travail;Ce que j'apprécie;1
les compétences techniques de mes collaborateurs;Collectif;Ce que j'apprécie;1
Les complexité d'une demande,;Travail;Ce qui me met en difficulté;1
"Les contraintes de modifications de dernière minute; Les contraintes de temps; Certaines informations ne parviennent pas assez rapidement.";Organisation;Ce qui me met en difficulté;1
Les co-propriétaires ;Autres;Ce qui me met en difficulté;1
Les creux d'activité;Dynamique;Ce qui me met en difficulté;1
Les creux dans l'activité;Dynamique;Ce qui me met en difficulté;1
Les deadlines;Pression;Ce qui me met en difficulté;1
Les décisions qui manquent parfois de clarté ou de contexte (choix marketing ou produit);Priorités;Ce qui me met en difficulté;1
Les décisions qui mettent parfois du temps à être tranchées;Organisation;Ce qui me met en difficulté;1
Les décisions qui ne sont jamais prises;Organisation;Ce qui me met en difficulté;1
Les décisions stratégiques en décalage avec les réalités de la production;Organisation;Ce qui me met en difficulté;1
Les défis techniques;Travail;Ce que j'apprécie;1
Les délais et jalons courts;Pression;Ce qui me met en difficulté;1
les demandes contradictoires ou qui manquent manquent de clarté;Communication;Ce qui me met en difficulté;1
Les dépendances avec d'autres équipes;Organisation;Ce qui me met en difficulté;1
Les dépendances cross équipe;Organisation;Ce qui me met en difficulté;1
Les déplacements loin;Environnement;Ce qui me met en difficulté;1
Les déplacements réguliers en clientèle;Travail;Ce qui me met en difficulté;1
Les différents fronts à gérer en même temps;Pression;Ce qui me met en difficulté;1
Les différents profils rendant les discussions intéressantes;Collectif;Ce que j'apprécie;1
Les discours;Autres;Ce que j'apprécie;1
Les diversité des domaines (VR JV, VR YouRescue, web, webGL, etc.);Travail;Ce que j'apprécie;1
les échange avec l'herarchie;Vision;Ce qui me met en difficulté;1
Les échanges;Collectif;Ce que j'apprécie;1
Les échanges avec la direction sont possibles ;Ouverture;Ce que j'apprécie;2
Les échanges entre collègues;Collectif;Ce que j'apprécie;1
Les échanges entres collègues;Collectif;Ce que j'apprécie;1
Les échanges et le travail d'équipe pour mener a bien les reflexions.;Collectif;Ce que j'apprécie;1
Les efforts de cohésion par l'entreprise (repas d'équipe, mise en place de challenges, d'évènements extérieurs...);Collectif;Ce que j'apprécie;1
les égos;Collectif;Ce qui me met en difficulté;1
Les employés ne donnent pas le meilleur d'eux-mêmes. Ici les gens ne font pas trop confiance au système.;Collectif;Ce qui me met en difficulté;1
Les employés ne font pas confiance aux gens;Collectif;Ce qui me met en difficulté;1
Les enchaînements (ex: Le dev c'était des freelances, pas de stablité, pas l'habitude de travailler ensemble, Départ de RIm );Organisation;Ce qui me met en difficulté;1
Les enfants ;Travail;Ce que j'apprécie;1
Les enjeux écolo ;Vision;Ce que j'apprécie;1
Les enjeux industriels;Vision;Ce que j'apprécie;1
les équipes;Collectif;Ce que j'apprécie;1
Les équipes / collègues;Collectif;Ce que j'apprécie;1
les équipes avec qui je travail;Travail;Ce que j'apprécie;1
Les équipes comme mes bon potes;Collectif;Ce que j'apprécie;1
Les événements organisés par l'entreprise;Environnement;Ce que j'apprécie;1
Les extras de l'entreprise (snacks, afterworks, voyage) pour contribuer à la bonne ambiance globale;Rémunération;Ce que j'apprécie;1
Les factures (gros chantiers notamment) : il faut être concentré et ne pas se planter ;Travail;Ce qui me met en difficulté;1
les feedbacks pas assez réactifs;Accompagnement;Ce qui me met en difficulté;1
Les formations pour travailler;Evolution;Ce qui me met en difficulté;1
Les freins de certaines décisions logique;Autonomie;Ce qui me met en difficulté;1
Les gens;Collectif;Ce que j'apprécie;1
les gens et les projets;Collectif;Ce que j'apprécie;1
Les gens ne comprennent pas que j'ai de l'expérience;Reconnaissance;Ce qui me met en difficulté;1
Les gens qui composent mon équipe.;Collectif;Ce que j'apprécie;1
les gens qui composent MWM et leurs qualités;Collectif;Ce que j'apprécie;1
les gens qui se plaignent trop;Collectif;Ce qui me met en difficulté;1
Les gens s'intéressent vraiment aux problèmes des autres;Collectif;Ce que j'apprécie;1
Les gens ;Collectif;Ce que j'apprécie;1
Les gens, l'équipe, les commerciaux avec lesquels je travaille;Collectif;Ce que j'apprécie;1
Les grosses quantités de projets;Pression;Ce qui me met en difficulté;1
les horaires;Environnement;Ce que j'apprécie;1
les horaires (7h30 - 15h30);Environnement;Ce que j'apprécie;1
Les horaires sont assez flexibles;Environnement;Ce que j'apprécie;1
"Les horaires; liberté d'expressions; relationnel avec la direction";Ouverture;Ce que j'apprécie;1
Les imprévus;Travail;Ce que j'apprécie;1
Les infos qui existent mais qui sont dures à trouver tellement notre rangement est labyrinthique;Communication;Ce qui me met en difficulté;1
Les infos sont pas dites à la bonne personne.;Organisation;Ce qui me met en difficulté;1
Les instructions de priorité parfois contradictoires;Priorités;Ce qui me met en difficulté;1
Les interactions avec des personnes qui ne sentent pas concerné par l'entreprise, qui ne souhaitent ni se dépasser, ni faire plus que leur travail;Collectif;Ce qui me met en difficulté;1
Les interactions avec l’équipe;Collectif;Ce que j'apprécie;1
Les interactions avec mes collègues;Collectif;Ce que j'apprécie;1
les interventions du président;Autres;Ce qui me met en difficulté;1
Les journées ne font que 24h;Pression;Ce qui me met en difficulté;1
Les jours de RDV médicaux offerts;Rémunération;Ce que j'apprécie;1
Les km (loin de mon domicile, jusqu'à 2h de trajets) ;Environnement;Ce qui me met en difficulté;1
Les limites de notre com interne.  ;Communication;Ce qui me met en difficulté;1
Les livrables à la dernière minute;Pression;Ce qui me met en difficulté;1
Les locaux;Environnement;Ce que j'apprécie;1
Les locaux et la terrasse;Environnement;Ce que j'apprécie;1
les locaux inadaptés;Environnement;Ce qui me met en difficulté;1
Les locaux ne sont pas encore adaptés => pb de nombre;Environnement;Ce qui me met en difficulté;1
Les locaux sont bien aménagés;Environnement;Ce que j'apprécie;1
les lundi;Autres;Ce que j'apprécie;1
Les managers sont très disponibles pour répondre aux questions et apporter leurs aides;Accompagnement;Ce que j'apprécie;1
Les mauvaises informations que l'on me donne.;Communication;Ce qui me met en difficulté;1
Les membres de l'entreprises;Collectif;Ce que j'apprécie;1
Les milliers de problématiques techniques/réglementaires;Travail;Ce que j'apprécie;1
Les missions : j'adore travailler, me sentir utile misssion Intéressantes et variées;Travail;Ce que j'apprécie;1
les missions de mon poste;Travail;Ce que j'apprécie;1
Les missions proposées, la possibilité de diversifier mon activité et les clients qui véhiculent généralement des valeurs proches aux notres;Travail;Ce que j'apprécie;1
Les missions qui me sont confiées;Travail;Ce que j'apprécie;1
Les missions qui me sont confiés.;Travail;Ce qui me met en difficulté;1
Les moments ensemble au bureau;Collectif;Ce que j'apprécie;1
Les moyens disponibles ou recherchés pour remplir la mission de l'entreprise;Moyens;Ce que j'apprécie;1
Les moyens mis à disposition;Moyens;Ce que j'apprécie;1
les non dits;Collectif;Ce qui me met en difficulté;1
LES OPS;Collectif;Ce que j'apprécie;1
les organisations maltraitantes chez des clients (de plus en plus fréquent);Relation client;Ce qui me met en difficulté;1
Les personnes accueillies ;Collectif;Ce que j'apprécie;1
Les personnes autour de moi, leur convivialité.;Collectif;Ce que j'apprécie;1
Les personnes avec qui je partage mon quotidien;Collectif;Ce que j'apprécie;1
Les personnes avec qui je travail (collègue et responsable) et la direction est très agréable et cordiale, permettant ainsi de travailler dans de bonne condition. La bienveillance au sein de l'entreprise La mission et les enjeux dans mon travail;Collectif;Ce que j'apprécie;1
Les personnes avec qui je travaille;Collectif;Ce que j'apprécie;1
Les personnes non alignées avec le projet;Collectif;Ce qui me met en difficulté;1
Les personnes pas investies;Collectif;Ce qui me met en difficulté;1
Les personnes, les relations saines et simples au sein de l'équipe, pouvoir se dire les choses, le bon esprit d'équipe, la bonne entente;Collectif;Ce que j'apprécie;1
Les personnes, leurs talents et leurs passions;Collectif;Ce que j'apprécie;1
Les perspective d'évolution que m'offre / m'a offert MWM;Evolution;Ce que j'apprécie;1
les perspectives d'avenir,;Evolution;Ce qui me met en difficulté;1
les points finalisés;Autres;Ce qui me met en difficulté;1
Les possibilités de tester des choses;Autonomie;Ce que j'apprécie;1
les prises de décisions sans consultation;Organisation;Ce qui me met en difficulté;1
